order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,total_price
19c4ca2f9ed38cdc930ad4d520efa2bb,8551f78cfe666ca6479329b4637d3582,delivered,2017-04-28 12:04:49,2017-04-28 13:04:15,2017-05-15 10:38:50,2017-05-18 08:33:36,2017-05-25 00:00:00,1.0,99521d67b22efb57979c6bf0c577a7a4,a888faf2d1baececa6baf9c3d603ee1f,2017-05-08 12:35:02,369.9,16.76,386.65999999999997
7d41a21f009105cf89773058d28abfab,5ecd1e8699c5bb1ae31dabaf719a0ef1,delivered,2017-04-01 15:30:14,2017-04-03 20:10:15,2017-04-06 10:38:34,2017-04-11 15:54:36,2017-04-28 00:00:00,1.0,6c273bcb49e4c78e0de3043e5efe81f9,dc4a0fc896dc34b0d5bfec8438291c80,2017-04-11 20:10:15,26.9,14.52,41.42
eb14dbf3c8f946973fe58a78a8b67942,92fb3369b344010fed8679f47e99f9df,delivered,2018-05-02 18:57:37,2018-05-02 19:40:25,2018-05-08 07:44:00,2018-05-20 11:30:29,2018-05-30 00:00:00,2.0,56c221c4c1a4a98293895c4563cdc6bf,d71d863e5ef30d94e440c11be17dcd8f,2018-05-15 19:31:20,29.0,11.32,40.32
9ca7ad0b7aafb20b74dd5c1bc5f851d4,351e25c72198b7d80b310f8391b8b222,delivered,2017-08-30 14:01:04,2017-08-30 14:10:15,2017-09-01 17:04:04,2017-09-11 20:12:25,2017-09-18 00:00:00,1.0,c9c455f9fd8ca66d3ff7f90a249753b4,96804ea39d96eb908e7c3afdb671bb9e,2017-09-05 14:10:15,109.95,13.79,123.74000000000001
48b8106306f7a0a72b4e74eed5635ffc,f2efdcd71b76cfbb70c85f07a1c26144,delivered,2017-04-20 21:07:01,2017-04-20 21:21:49,2017-04-27 09:56:34,2017-05-10 12:50:11,2017-05-17 00:00:00,1.0,0795fbcdc1ae9c0d7106b8018ad341a8,cd06602b43d8800bd0afad514919d35c,2017-05-04 21:21:49,7.29,10.96,18.25
2610d02cf7ff695863673e09146bdb67,d559dc84324405217e129c2448f7b1d5,delivered,2017-09-21 14:27:11,2017-09-23 02:15:23,2017-09-27 18:00:46,2017-10-03 19:42:37,2017-10-23 00:00:00,3.0,d3c044bd42d84a79e3b0c42662806a48,4c2b230173bb36f9b240f2b8ac11786e,2017-09-28 02:15:23,25.9,15.1,41.0
a79af87b8a7a623374f879412adc351e,94e6eb73f0774b8be5f3f7aa3587b5f1,delivered,2018-08-03 21:38:15,2018-08-03 21:50:11,2018-08-06 10:28:00,2018-08-08 19:42:14,2018-08-10 00:00:00,1.0,8b3fe8c89624abf9d932b87faae6b587,32b8764b4ef628b53608fc34011fcc13,2018-08-06 21:50:11,169.0,45.59,214.59
a3696d83a951412999a280e4a331070d,30a0b2c2da053fc6e7cfd13eeef55f7a,delivered,2018-04-18 16:20:07,2018-04-18 17:14:51,2018-04-19 19:31:33,2018-04-26 18:12:51,2018-05-17 00:00:00,1.0,7fa4c60dbf8adabb4797ac6719fbdbff,bc07d855eac23aab5ac8a120f21d16b2,2018-04-27 17:14:51,173.25,18.79,192.04
852ea7126685eecadb2903ab2dea67ef,f4e35567dd4a7698f0dc5607f1f065ab,delivered,2018-01-08 17:38:00,2018-01-08 17:49:14,2018-02-09 13:04:03,2018-02-28 16:55:48,2018-03-16 00:00:00,1.0,7c898e0b8ea203dd94ba846627fc34d1,7c67e1448b00f6e969d365cea6b010ab,2018-02-09 17:49:14,159.94,38.96,198.9
1175cf55b833823e2478956d6bb6e43c,6d0c650bd30f4160b84c3634dd05b509,delivered,2017-06-23 07:15:39,2017-06-23 07:25:15,2017-06-27 17:04:03,2017-07-04 15:51:59,2017-07-18 00:00:00,1.0,8cddb7e987edc2597c2ed9ccd321d975,1b61fb1f0f2185d89e9a126c498e9cc7,2017-06-30 07:25:15,49.7,16.11,65.81
92b7ad3b562646f9112aa21df37f790b,c9da69edb9b3c5e7b8074ac4ea9b2244,delivered,2018-08-20 19:02:22,2018-08-21 19:06:08,2018-08-22 15:16:00,2018-08-27 19:48:32,2018-09-03 00:00:00,1.0,6f4f2bb136fd2d8e8229355d8fec6b67,06e5eefc71ec47ae763c5c6f8db7064f,2018-08-23 19:05:39,379.94,20.76,400.7
de5b7ea79803e2993efb698c480ba599,6b0dd7d5c825e4239c42c72227fd82f9,delivered,2017-07-17 14:31:23,2017-07-17 14:45:26,2017-07-27 16:43:18,2017-07-28 14:26:43,2017-08-03 00:00:00,1.0,86f2416d4670e4ea3ca5494d043d9f24,7c67e1448b00f6e969d365cea6b010ab,2017-07-27 14:45:26,159.94,19.84,179.78
